SermonId,Title,Speaker,Date,Text,Mp3Url,SeriesName,SermonPageUrl,SeriesIndex
180573470,1 Thessalonians 5:25-28 - Farewell to a Faithful Church,Greg Pickle,2019-08-25,1 Thessalonians 5:25-28,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190825_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180573470,29
180572998,1 Thessalonians 5:23-24 - A Prayer for Sanctification,Greg Pickle,2019-08-18,1 Thessalonians 5:23-24,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190818_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180572998,28
180572967,"Life in the Family - Marriage, Class 19 - Divorce and Remarriage, Part 4",Greg Pickle,2019-08-18,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190818_ss.mp3,Life in the Family - Marriage,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180572967,18
180572557,"Life in the Family - Marriage, Class 18 - Divorce and Remarriage, Part 3",Greg Pickle,2019-08-11,Various,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190811_ss.mp3,Life in the Family - Marriage,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180572557,17
180572547,1 Thessalonians 5:19-22: Responding to God's Revelation,Greg Pickle,2019-08-11,1 Thessalonians 5:19-22,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190811_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180572547,27
180572061,1 Thessalonians 5:17-18 - Pray and Give Thanks,Greg Pickle,2019-08-04,1 Thessalonians 5:17-18,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190804_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180572061,26
180572037,"Life in the Family - Marriage, Class 17 - Divorce and Remarriage, Part 2",Greg Pickle,2019-08-04,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190804_ss.mp3,Life in the Family - Marriage,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180572037,16
180572036,1 Thessalonians 5:16 - Rejoice Always,Greg Pickle,2019-07-28,1 Thessalonians 5:16,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190728_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180572036,25
180571988,"Life in the Family - Marriage, Class 16 - Divorce and Remarriage, Part 1",Greg Pickle,2019-07-28,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190728_ss.mp3,Life in the Family - Marriage,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180571988,15
180571376,1 Thessalonians 5:15 - The Replacement for Revenge,Greg Pickle,2019-07-22,1 Thessalonians 5:15,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190721_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180571376,24
